Week Start,Filter,Students,Avg Page Views,Avg Participations,Page Views,Participations
"Sep 4, 2023",All Sections,38,0,0,0,0
"Sep 11, 2023",All Sections,38,0,0,0,0
"Sep 18, 2023",All Sections,38,0,0,0,0
"Sep 25, 2023",All Sections,38,0,0,0,0
"Oct 2, 2023",All Sections,38,0,0,0,0
"Oct 9, 2023",All Sections,38,0,0,0,0
"Oct 16, 2023",All Sections,38,0,0,0,0
"Oct 23, 2023",All Sections,38,0,0,0,0
"Oct 30, 2023",All Sections,38,0,0,0,0
"Nov 6, 2023",All Sections,38,0,0,0,0
"Nov 13, 2023",All Sections,38,0,0,0,0
"Nov 20, 2023",All Sections,38,0,0,0,0
"Nov 27, 2023",All Sections,38,0,0,0,0
"Dec 4, 2023",All Sections,38,0,0,0,0
"Dec 11, 2023",All Sections,38,0,0,0,0
"Dec 18, 2023",All Sections,38,0,0,0,0
"Dec 25, 2023",All Sections,38,0,0,0,0
"Jan 1, 2024",All Sections,38,0,0,0,0
"Jan 8, 2024",All Sections,38,0,0,0,0
"Jan 15, 2024",All Sections,38,0,0,0,0
"Jan 22, 2024",All Sections,38,0,0,0,0
"Jan 29, 2024",All Sections,38,0,0,0,0
"Feb 5, 2024",All Sections,38,0,0,0,0
"Feb 12, 2024",All Sections,38,0,0,0,0
"Feb 19, 2024",All Sections,38,0,0,0,0
"Feb 26, 2024",All Sections,38,0,0,0,0
"Mar 4, 2024",All Sections,38,0,0,0,0
"Mar 11, 2024",All Sections,38,0,0,0,0
"Mar 18, 2024",All Sections,38,0,0,0,0
"Mar 25, 2024",All Sections,38,0,0,0,0
"Apr 1, 2024",All Sections,38,0,0,0,0
"Apr 8, 2024",All Sections,38,0,0,0,0
